Java HotSpot(TM) 64-Bit Server VM (25.66-b17) for linux-amd64 JRE (1.8.0_66-b17), built on Oct  6 2015 17:28:34 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 16466924k(12326868k free), swap 0k(0k free)
CommandLine flags: -XX:CMSFullGCsBeforeCompaction=0 -XX:CMSInitiatingOccupancyFraction=65 -XX:CMSTriggerRatio=70 -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/workspace/carkey/AppFinanceExternalData/logs/heapdump.hprof -XX:InitialHeapSize=2147483648 -XX:+ManagementServer -XX:MaxHeapSize=2147483648 -XX:MaxMetaspaceSize=268435456 -XX:MaxNewSize=838860800 -XX:MaxTenuringThreshold=6 -XX:MetaspaceSize=268435456 -XX:NewSize=838860800 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCMSCompactAtFullCollection -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2019-12-06T22:20:36.048+0800: 105612.766: [GC (Allocation Failure) 2019-12-06T22:20:36.048+0800: 105612.767: [ParNew: 669213K->15735K(737280K), 0.0261640 secs] 885595K->233545K(2015232K), 0.0266120 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2019-12-06T23:09:54.870+0800: 108571.589: [GC (Allocation Failure) 2019-12-06T23:09:54.870+0800: 108571.589: [ParNew: 671095K->17667K(737280K), 0.0250645 secs] 888905K->236834K(2015232K), 0.0255838 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2019-12-07T00:00:53.807+0800: 111630.526: [GC (Allocation Failure) 2019-12-07T00:00:53.807+0800: 111630.526: [ParNew: 673027K->12967K(737280K), 0.0262720 secs] 892194K->233554K(2015232K), 0.0267370 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-07T00:59:21.428+0800: 115138.147: [GC (Allocation Failure) 2019-12-07T00:59:21.429+0800: 115138.147: [ParNew: 668327K->16505K(737280K), 0.0261906 secs] 888914K->238443K(2015232K), 0.0266538 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2019-12-07T02:08:05.818+0800: 119262.537: [GC (Allocation Failure) 2019-12-07T02:08:05.819+0800: 119262.538: [ParNew: 671865K->15210K(737280K), 0.0297112 secs] 893803K->238576K(2015232K), 0.0301742 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2019-12-07T03:31:34.595+0800: 124271.314: [GC (Allocation Failure) 2019-12-07T03:31:34.596+0800: 124271.314: [ParNew: 670570K->15425K(737280K), 0.0279957 secs] 893936K->240102K(2015232K), 0.0284654 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2019-12-07T05:01:28.865+0800: 129665.584: [GC (Allocation Failure) 2019-12-07T05:01:28.865+0800: 129665.584: [ParNew: 670782K->15093K(737280K), 0.0249930 secs] 895458K->241169K(2015232K), 0.0254313 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2019-12-07T06:33:14.905+0800: 135171.624: [GC (Allocation Failure) 2019-12-07T06:33:14.905+0800: 135171.624: [ParNew: 670453K->11162K(737280K), 0.0253949 secs] 896529K->238584K(2015232K), 0.0258760 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2019-12-07T07:48:05.293+0800: 139662.012: [GC (Allocation Failure) 2019-12-07T07:48:05.293+0800: 139662.012: [ParNew: 666522K->11897K(737280K), 0.0228175 secs] 893944K->240701K(2015232K), 0.0232509 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2019-12-07T08:46:30.870+0800: 143167.589: [GC (Allocation Failure) 2019-12-07T08:46:30.870+0800: 143167.589: [ParNew: 667257K->8283K(737280K), 0.0224188 secs] 896061K->238211K(2015232K), 0.0228546 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2019-12-07T09:38:03.617+0800: 146260.335: [GC (Allocation Failure) 2019-12-07T09:38:03.617+0800: 146260.336: [ParNew: 663643K->9790K(737280K), 0.0243004 secs] 893571K->240591K(2015232K), 0.0247657 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
